subjID,self,like,cond,response1,choice,input1,input,response,f,outcome,g,h,i,j,k,l
101,0,0,0,0,1,1,0,1,1,-1,48830,988470,0,981739,932909,939640
101,0,0,0,1,2,1,0,0,2,1,48830,1000667,1,993735,944905,951837
101,0,0,0,NaN,NaN,NaN,NaN,NaN,3,1,48830,1014996,NaN,1006348,957518,966166
101,0,0,0,0,1,1,0,1,4,-1,48830,1027592,0,1021361,972531,978762
101,0,0,0,0,1,1,0,1,5,-1,48830,1041704,0,1035073,986243,992874
101,0,0,0,NaN,NaN,NaN,NaN,NaN,6,1,48830,1055684,NaN,1048536,999706,1006854
101,0,0,0,0,1,1,0,1,7,-1,48830,1070646,0,1062065,1013235,1021816
101,0,0,0,0,1,1,0,1,8,-1,48830,1083309,0,1077777,1028947,1034479
101,0,0,0,1,2,0,1,0,9,-1,48830,1094089,0,1087791,1038961,1045259
101,0,0,0,0,1,1,0,1,10,-1,48830,1107068,0,1100970,1052140,1058238
101,0,0,0,0,1,1,0,1,11,-1,48830,1119631,0,1113766,1064936,1070801
101,0,0,0,0,1,1,0,1,12,-1,48830,1132128,0,1126829,1077999,1083298
101,0,0,0,0,1,1,0,1,13,-1,48830,1148956,0,1140125,1091295,1100126
101,0,0,0,1,2,1,0,0,14,1,48830,1163568,1,1154571,1105741,1114738
101,0,0,0,NaN,NaN,NaN,NaN,NaN,15,1,48830,1177414,NaN,1168983,1120153,1128584
101,0,0,0,0,1,1,0,1,16,-1,48830,1190810,0,1183512,1134682,1141980
101,0,0,0,0,1,1,0,1,17,-1,48830,1201290,0,1195625,1146795,1152460
101,0,0,0,0,1,0,1,1,18,1,48830,1215769,1,1209271,1160441,1166939
101,0,0,0,0,1,1,0,1,19,-1,48830,1229665,0,1222484,1173654,1180835
101,0,0,0,1,2,0,1,0,20,-1,48830,1242411,0,1235380,1186550,1193581
101,0,0,0,0,1,1,0,1,21,-1,48830,1252308,0,1246943,1198113,1203478
101,0,0,0,0,1,1,0,1,22,-1,48830,1267071,0,1259273,1210443,1218241
101,0,0,0,0,1,1,0,1,23,-1,48830,1282299,0,1273453,1224623,1233469
101,0,0,0,0,1,1,0,1,24,-1,48830,1294113,0,1288964,1240134,1245283
101,0,0,0,0,1,1,0,1,25,-1,48830,1306159,0,1299611,1250781,1257329
101,0,0,0,1,2,1,0,0,26,1,48830,1319105,1,1310308,1261478,1270275
101,0,0,0,0,1,1,0,1,27,-1,48830,1331885,0,1324270,1275440,1283055
101,0,0,0,0,1,0,1,1,28,1,48830,1346447,1,1339449,1290619,1297617
101,0,0,0,0,1,1,0,1,29,-1,48830,1357827,0,1351629,1302799,1308997
101,0,0,0,1,2,0,1,0,30,-1,48830,1372156,0,1365808,1316978,1323326
101,0,0,0,0,1,0,1,1,31,1,48830,1384752,1,1376955,1328125,1335922
101,0,0,0,NaN,NaN,NaN,NaN,NaN,32,1,48830,1397748,NaN,1392650,1343820,1348918
101,0,1,1,0,1,1,1,0,1,-1,48830,1446001,0,1437870,1389040,1397171
101,0,1,1,1,2,1,1,1,2,1,48830,1460580,1,1451832,1403002,1411750
101,0,1,1,1,2,1,1,1,3,1,48830,1471893,1,1466595,1417765,1423063
101,0,1,1,0,1,1,1,0,4,-1,48830,1487405,0,1478891,1430061,1438575
101,0,1,1,1,2,0,0,1,5,-1,48830,1499501,0,1492987,1444157,1450671
101,0,1,1,0,1,1,1,0,6,-1,48830,1509332,0,1503700,1454870,1460502
101,0,1,1,0,1,1,1,0,7,-1,48830,1521628,0,1516330,1467500,1472798
101,0,1,1,1,2,1,1,1,8,1,48830,1532608,1,1526860,1478030,1483778
101,0,1,1,0,1,1,1,0,9,-1,48830,1544971,0,1539373,1490543,1496141
101,0,1,1,1,2,0,0,1,10,-1,48830,1558467,0,1552652,1503822,1509637
101,0,1,1,NaN,NaN,NaN,NaN,NaN,11,1,48830,1570647,NaN,1565132,1516302,1521817
101,0,1,1,1,2,0,0,1,12,-1,48830,1584293,0,1577711,1528881,1535463
101,0,1,1,0,1,0,0,0,13,1,48830,1594723,1,1588608,1539778,1545893
101,0,1,1,1,2,1,1,1,14,1,48830,1604987,1,1599505,1550675,1556157
101,0,1,1,1,2,1,1,1,15,1,48830,1615550,1,1610352,1561522,1566720
101,0,1,1,1,2,1,1,1,16,1,48830,1629129,1,1622765,1573935,1580299
101,0,1,1,NaN,NaN,NaN,NaN,NaN,17,1,48830,1639926,NaN,1633478,1584648,1591096
101,0,1,1,1,2,1,1,1,18,1,48830,1651939,1,1645908,1597078,1603109
101,0,1,1,1,2,1,1,1,19,1,48830,1665085,1,1658121,1609291,1616255
101,0,1,1,1,2,1,1,1,20,1,48830,1678115,1,1671150,1622320,1629285
101,0,1,1,0,1,1,1,0,21,-1,48830,1689128,0,1682630,1633800,1640298
101,0,1,1,1,2,1,1,1,22,1,48830,1700658,1,1695343,1646513,1651828
101,0,1,1,1,2,1,1,1,23,1,48830,1713654,1,1705773,1656943,1664824
101,0,1,1,1,2,1,1,1,24,1,48830,1728100,1,1720535,1671705,1679270
101,0,1,1,1,2,0,0,1,25,-1,48830,1744778,0,1735981,1687151,1695948
101,0,1,1,1,2,1,1,1,26,1,48830,1758124,1,1752776,1703946,1709294
101,0,1,1,1,2,1,1,1,27,1,48830,1770937,1,1763539,1714709,1722107
101,0,1,1,0,1,0,0,0,28,1,48830,1783250,1,1775686,1726856,1734420
101,0,1,1,1,2,1,1,1,29,1,48830,1794697,1,1787565,1738735,1745867
